Cluster_A,Cluster_B,Distance_km,total_population,num_businesses,total_boardings,Flow,Estimated_Flow,Optimized_Flow
33,12,34.46644699999998,1490,32,66787,1,2680619.3630171297,2680619.3630171297
33,13,52.31289400000004,1490,23,66787,1,836350.9368560498,836350.9368560498
33,14,39.57676300000001,1490,180,66787,1,11435895.258280896,11435895.258280896
33,15,56.51519900000006,1490,20,66787,1,623128.589803115,623128.589803115
33,16,95.62592999999998,1490,7,66787,1,76177.18158945681,76177.18158945681
33,17,10.8678,1490,185,66787,1,155871479.50482616,155871479.50482616
33,18,44.66381800000001,1490,164,66787,1,8181074.77317473,8181074.77317473
33,19,51.95417100000004,1490,4724,66787,1,174159534.1314127,174159534.1314127
33,20,62.87717300000008,1490,239,66787,1,6015754.306455161,6015754.306455161
33,21,175.10136300000005,1490,54,66787,1,175264.0772840368,175264.0772840368
33,22,50.206582000000026,1490,39,66787,1,1539648.2013247192,1539648.2013247192
33,23,21.49342500000001,1490,41,66787,1,8831832.185936484,8831832.185936484
33,24,73.39131400000005,1490,62,66787,1,1145461.6853031712,1145461.6853031712
33,25,59.64803200000007,1490,47,66787,1,1314570.322658635,1314570.322658635
33,26,41.94498700000001,1490,12,66787,1,678733.5578654573,678733.5578654573
33,27,23.398361,1490,188,66787,1,34171589.390756585,34171589.390756585
33,28,28.84751500000001,1490,2,66787,1,239161.56367796208,239161.56367796208
33,29,27.665492999999994,1490,34,66787,1,4420590.578966633,4420590.578966633
33,30,86.74842699999999,1490,32,66787,1,423160.34794354596,423160.34794354596
33,31,44.547939000000014,1490,747,66787,1,37457912.72920703,37457912.72920703
33,32,59.96041600000007,1490,234,66787,1,6476864.137291046,6476864.137291046
33,34,160.21569700000003,1490,619,66787,1,2399709.8069156324,2399709.8069156324
33,35,24.28862400000001,1490,35,66787,1,5903919.468855872,5903919.468855872
33,36,39.402227,1490,68,66787,1,4358585.599124741,4358585.599124741
33,37,64.309624,1490,135,66787,1,3248329.1690711956,3248329.1690711956
33,38,68.72748400000002,1490,46,66787,1,969114.6195769527,969114.6195769527
33,39,6.830754000000001,1490,69,66787,1,147160076.45469207,147160076.45469207
33,40,47.23742299999999,1490,15,66787,1,668955.2544357652,668955.2544357652
33,41,22.411882,1490,548,66787,1,108568067.70803694,108568067.70803694
33,42,35.155646999999995,1490,818,66787,1,65862971.08099899,65862971.08099899
33,43,38.722142000000005,1490,26,66787,1,1725570.8901649972,1725570.8901649972
