Year,Holdeplassnavn,Holdeplassid,KommuneNavn,NsrQuayID,Longitude,Latitude,Snitt påstigende pr dag,Snitt avstigende pr dag,Snitt ombord pr dag,Totalt påstigende,Totalt avstigende
2023,Asphaug,12452707,Øygarden,NSR:Quay:50918,"5,03148","60,24442",0,0,"16,4",5,4
2024,Asphaug,12452707,Øygarden,NSR:Quay:50918,"5,03148","60,24442",0,0,"18,9",7,0
2023,Asphaug,12452708,Øygarden,NSR:Quay:50919,"5,03144","60,24461",0,0,"15,1",16,13
2024,Asphaug,12452708,Øygarden,NSR:Quay:50919,"5,03144","60,24461",0,0,"17,1",0,1
2023,Aurabekken,12452532,Øygarden,NSR:Quay:50627,"5,09958","60,24954",0,0,"45,2",0,15
2024,Aurabekken,12452532,Øygarden,NSR:Quay:50627,"5,09958","60,24954",0,0,"46,4",2,11
2023,Aurabekken,12452533,Øygarden,NSR:Quay:50625,"5,10019","60,25126",0,0,"33,0",6,1
2024,Aurabekken,12452533,Øygarden,NSR:Quay:50625,"5,10019","60,25126",0,0,"36,9",6,3
2023,Austamarka,12593101,Øygarden,NSR:Quay:58565,"4,91609","60,50667",3,1,"62,6",338,88
2024,Austamarka,12593101,Øygarden,NSR:Quay:58565,"4,91609","60,50667",3,0,"63,9",222,31
2023,Austamarka,12593104,Øygarden,NSR:Quay:58567,"4,91595","60,50709",0,3,"54,8",44,272
2024,Austamarka,12593104,Øygarden,NSR:Quay:58567,"4,91595","60,50709",0,2,"52,8",22,192
2023,Austebygd skule,12604726,Alver,NSR:Quay:56327,"5,03426","60,69169",0,0,"14,3",0,1
2024,Austebygd skule,12604726,Alver,NSR:Quay:56327,"5,03426","60,69169",0,0,"13,7",1,1
2023,Austefjorden kryss,12452623,Øygarden,NSR:Quay:50733,"5,10202","60,19486",7,1,"15,6",700,62
2024,Austefjorden kryss,12452623,Øygarden,NSR:Quay:50733,"5,10202","60,19486",6,1,"17,3",457,43
2023,Austegardsvegen,12462443,Øygarden,NSR:Quay:51625,"5,01168","60,32589",10,1,"48,1",1040,146
2024,Austegardsvegen,12462443,Øygarden,NSR:Quay:51625,"5,01168","60,32589",11,2,"47,5",879,150
2023,Austevoll,12011656,Bergen,NSR:Quay:54434,"5,42513","60,27374",0,2,"187,2",47,189
2024,Austevoll,12011656,Bergen,NSR:Quay:54434,"5,42513","60,27374",0,2,"202,0",36,161
2023,Austevoll,12011661,Bergen,NSR:Quay:54436,"5,42615","60,27372",2,0,"184,7",225,43
2024,Austevoll,12011661,Bergen,NSR:Quay:54436,"5,42615","60,27372",2,0,"191,7",171,27
2023,Austevoll Auto,12447126,Austevoll,NSR:Quay:50250,"5,22679","60,01745",0,0,"9,1",8,11
2024,Austevoll Auto,12447126,Austevoll,NSR:Quay:50250,"5,22679","60,01745",0,0,"9,2",5,8
2023,Austevoll Auto,12447133,Austevoll,NSR:Quay:50251,"5,22662","60,01738",0,0,"6,0",14,14
2024,Austevoll Auto,12447133,Austevoll,NSR:Quay:50251,"5,22662","60,01738",0,0,"5,9",8,7
2023,Austevoll us.,12446915,Austevoll,NSR:Quay:50147,"5,24833","60,08192",2,1,"10,7",223,132
2024,Austevoll us.,12446915,Austevoll,NSR:Quay:50147,"5,24833","60,08192",2,1,"11,5",163,67
2023,Austevoll us.,12446916,Austevoll,NSR:Quay:50146,"5,24862","60,08108",0,3,"13,2",34,323
2024,Austevoll us.,12446916,Austevoll,NSR:Quay:50146,"5,24862","60,08108",0,3,"13,7",33,216
2023,Austevoll vgs.,12446919,Austevoll,NSR:Quay:50149,"5,265","60,08407",1,0,"8,7",56,5
2024,Austevoll vgs.,12446919,Austevoll,NSR:Quay:50149,"5,265","60,08407",0,0,"8,9",13,2
2023,Austevoll vgs.,12446920,Austevoll,NSR:Quay:50148,"5,26571","60,08428",0,1,"12,3",2,57
2024,Austevoll vgs.,12446920,Austevoll,NSR:Quay:50148,"5,26571","60,08428",0,0,"13,0",2,18
2023,Austevollshella,12444725,Austevoll,NSR:Quay:50019,"5,16538","60,10511",0,0,"1,9",11,0
2024,Austevollshella,12444725,Austevoll,NSR:Quay:50019,"5,16538","60,10511",0,0,"1,9",12,1
2023,Austevollshella,12444730,Austevoll,NSR:Quay:50020,"5,16536","60,10518",0,0,,0,0
2024,Austevollshella,12444730,Austevoll,NSR:Quay:50020,"5,16536","60,10518",0,0,,0,0
2023,Austevollshella byggefelt,12444727,Austevoll,NSR:Quay:50025,"5,17615","60,10214",0,0,"2,0",11,2
2024,Austevollshella byggefelt,12444727,Austevoll,NSR:Quay:50025,"5,17615","60,10214",0,0,"2,1",19,1
2023,Austevollshella byggefelt,12444728,Austevoll,NSR:Quay:50026,"5,17623","60,10227",0,0,,0,0
2024,Austevollshella byggefelt,12444728,Austevoll,NSR:Quay:50026,"5,17623","60,10227",0,0,,0,0
2023,Austlandet,12593207,Øygarden,NSR:Quay:55599,"4,86371","60,57235",1,0,"28,7",57,13
2024,Austlandet,12593207,Øygarden,NSR:Quay:55599,"4,86371","60,57235",1,0,"32,2",49,10
2023,Austlandet,12593208,Øygarden,NSR:Quay:55598,"4,86397","60,57235",0,0,"24,3",8,40
2024,Austlandet,12593208,Øygarden,NSR:Quay:55598,"4,86397","60,57235",0,1,"25,8",11,43
2023,Austmarka,12604102,Alver,NSR:Quay:55811,"5,17807","60,61823",14,6,"56,8",1470,676
2024,Austmarka,12604102,Alver,NSR:Quay:55811,"5,17807","60,61823",14,5,"68,6",1110,427
2023,Austmarka,12604130,Alver,NSR:Quay:55812,"5,17751","60,6185",2,10,"33,5",203,1081
